"parent_sku","sku","stock_status",regular_price,"tax_class","images","meta:attribute_Colour","meta:attribute_Size"
"7620B","7620BBLAC1112","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd22770bcb3.jpg","Black","11/12 Years"
"7620B","7620BBLAC12","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd22770bcb3.jpg","Black","1/2 Years"
"7620B","7620BBLAC34","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd22770bcb3.jpg","Black","3/4 Years"
"7620B","7620BBLAC56","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd22770bcb3.jpg","Black","5/6 Years"
"7620B","7620BBLAC78","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd22770bcb3.jpg","Black","7/8 Years"
"7620B","7620BBLAC910","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd22770bcb3.jpg","Black","9/10 Years"
"7620B","7620BBOTT1112","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd34fb05c85.jpg","Bottle Green","11/12 Years"
"7620B","7620BBOTT12","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd34fb05c85.jpg","Bottle Green","1/2 Years"
"7620B","7620BBOTT34","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd34fb05c85.jpg","Bottle Green","3/4 Years"
"7620B","7620BBOTT56","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd34fb05c85.jpg","Bottle Green","5/6 Years"
"7620B","7620BBOTT78","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd34fb05c85.jpg","Bottle Green","7/8 Years"
"7620B","7620BBOTT910","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd34fb05c85.jpg","Bottle Green","9/10 Years"
"7620B","7620BBRED1112","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd408c59ef7.jpg","Bright Red","11/12 Years"
"7620B","7620BBRED12","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd408c59ef7.jpg","Bright Red","1/2 Years"
"7620B","7620BBRED34","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd408c59ef7.jpg","Bright Red","3/4 Years"
"7620B","7620BBRED56","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd408c59ef7.jpg","Bright Red","5/6 Years"
"7620B","7620BBRED78","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd408c59ef7.jpg","Bright Red","7/8 Years"
"7620B","7620BBRED910","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd408c59ef7.jpg","Bright Red","9/10 Years"
"7620B","7620BBROY1112","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd5401f4c76.jpg","Bright Royal","11/12 Years"
"7620B","7620BBROY12","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd5401f4c76.jpg","Bright Royal","1/2 Years"
"7620B","7620BBROY34","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd5401f4c76.jpg","Bright Royal","3/4 Years"
"7620B","7620BBROY56","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd5401f4c76.jpg","Bright Royal","5/6 Years"
"7620B","7620BBROY78","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd5401f4c76.jpg","Bright Royal","7/8 Years"
"7620B","7620BBROY910","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd5401f4c76.jpg","Bright Royal","9/10 Years"
"7620B","7620BBURG1112","instock",6.39,"Zero Rate","https://cdn.pimber.ly/public/asset/raw/571f95845f13380f0056d06a/c6199845/5c5c3e3deb9f5b1c75cdecd6d9f23695.jpg","Burgundy","11/12 Years"
